accuracies,n_authors,n_samples,FE_algorithm,n_gram,FE_algorithm n-gram
0.9333333333333333,2,120,Word n-gram,1,Word n-gram-1
0.8375,2,80,Word n-gram,1,Word n-gram-1
0.8,2,40,Word n-gram,1,Word n-gram-1
0.755,5,120,Word n-gram,1,Word n-gram-1
0.7575,5,80,Word n-gram,1,Word n-gram-1
0.65,5,40,Word n-gram,1,Word n-gram-1
0.7008333333333333,10,120,Word n-gram,1,Word n-gram-1
0.7025,10,80,Word n-gram,1,Word n-gram-1
0.6274999999999998,10,40,Word n-gram,1,Word n-gram-1
0.6387499999999999,20,120,Word n-gram,1,Word n-gram-1
0.5824999999999999,20,80,Word n-gram,1,Word n-gram-1
0.5349999999999999,20,40,Word n-gram,1,Word n-gram-1
0.8916666666666666,2,120,Word n-gram,2,Word n-gram-2
0.8,2,80,Word n-gram,2,Word n-gram-2
0.8125,2,40,Word n-gram,2,Word n-gram-2
0.7449999999999999,5,120,Word n-gram,2,Word n-gram-2
0.7424999999999999,5,80,Word n-gram,2,Word n-gram-2
0.61,5,40,Word n-gram,2,Word n-gram-2
0.6874999999999999,10,120,Word n-gram,2,Word n-gram-2
0.6675,10,80,Word n-gram,2,Word n-gram-2
0.575,10,40,Word n-gram,2,Word n-gram-2
0.5895833333333333,20,120,Word n-gram,2,Word n-gram-2
0.54,20,80,Word n-gram,2,Word n-gram-2
0.45375000000000004,20,40,Word n-gram,2,Word n-gram-2
0.7583333333333334,2,120,Word n-gram,3,Word n-gram-3
0.70625,2,80,Word n-gram,3,Word n-gram-3
0.6375,2,40,Word n-gram,3,Word n-gram-3
0.6533333333333333,5,120,Word n-gram,3,Word n-gram-3
0.585,5,80,Word n-gram,3,Word n-gram-3
0.51,5,40,Word n-gram,3,Word n-gram-3
0.5299999999999999,10,120,Word n-gram,3,Word n-gram-3
0.5599999999999999,10,80,Word n-gram,3,Word n-gram-3
0.43,10,40,Word n-gram,3,Word n-gram-3
0.48666666666666664,20,120,Word n-gram,3,Word n-gram-3
0.459375,20,80,Word n-gram,3,Word n-gram-3
0.35625,20,40,Word n-gram,3,Word n-gram-3
0.6458333333333333,2,120,Word n-gram,4,Word n-gram-4
0.575,2,80,Word n-gram,4,Word n-gram-4
0.4625,2,40,Word n-gram,4,Word n-gram-4
0.5999999999999999,5,120,Word n-gram,4,Word n-gram-4
0.595,5,80,Word n-gram,4,Word n-gram-4
0.51,5,40,Word n-gram,4,Word n-gram-4
0.5166666666666667,10,120,Word n-gram,4,Word n-gram-4
0.44499999999999995,10,80,Word n-gram,4,Word n-gram-4
0.3925,10,40,Word n-gram,4,Word n-gram-4
0.45333333333333325,20,120,Word n-gram,4,Word n-gram-4
0.421875,20,80,Word n-gram,4,Word n-gram-4
0.3325,20,40,Word n-gram,4,Word n-gram-4
0.625,2,120,Word n-gram,5,Word n-gram-5
0.6125,2,80,Word n-gram,5,Word n-gram-5
0.6375,2,40,Word n-gram,5,Word n-gram-5
0.56,5,120,Word n-gram,5,Word n-gram-5
0.525,5,80,Word n-gram,5,Word n-gram-5
0.4600000000000001,5,40,Word n-gram,5,Word n-gram-5
0.425,10,120,Word n-gram,5,Word n-gram-5
0.4425,10,80,Word n-gram,5,Word n-gram-5
0.325,10,40,Word n-gram,5,Word n-gram-5
0.4225,20,120,Word n-gram,5,Word n-gram-5
0.38875000000000004,20,80,Word n-gram,5,Word n-gram-5
0.32375000000000004,20,40,Word n-gram,5,Word n-gram-5
0.7041666666666666,2,120,Char n-gram,1,Char n-gram-1
0.6375,2,80,Char n-gram,1,Char n-gram-1
0.7125,2,40,Char n-gram,1,Char n-gram-1
0.4166666666666667,5,120,Char n-gram,1,Char n-gram-1
0.475,5,80,Char n-gram,1,Char n-gram-1
0.38,5,40,Char n-gram,1,Char n-gram-1
0.3325,10,120,Char n-gram,1,Char n-gram-1
0.32625000000000004,10,80,Char n-gram,1,Char n-gram-1
0.2975,10,40,Char n-gram,1,Char n-gram-1
0.225,20,120,Char n-gram,1,Char n-gram-1
0.21187499999999998,20,80,Char n-gram,1,Char n-gram-1
0.2,20,40,Char n-gram,1,Char n-gram-1
0.8541666666666666,2,120,Char n-gram,2,Char n-gram-2
0.8,2,80,Char n-gram,2,Char n-gram-2
0.8125,2,40,Char n-gram,2,Char n-gram-2
0.6416666666666666,5,120,Char n-gram,2,Char n-gram-2
0.575,5,80,Char n-gram,2,Char n-gram-2
0.35,5,40,Char n-gram,2,Char n-gram-2
0.49083333333333334,10,120,Char n-gram,2,Char n-gram-2
0.45125000000000004,10,80,Char n-gram,2,Char n-gram-2
0.39,10,40,Char n-gram,2,Char n-gram-2
0.3883333333333333,20,120,Char n-gram,2,Char n-gram-2
0.2768749999999999,20,80,Char n-gram,2,Char n-gram-2
0.27625,20,40,Char n-gram,2,Char n-gram-2
0.8833333333333334,2,120,Char n-gram,3,Char n-gram-3
0.86875,2,80,Char n-gram,3,Char n-gram-3
0.85,2,40,Char n-gram,3,Char n-gram-3
0.7133333333333334,5,120,Char n-gram,3,Char n-gram-3
0.685,5,80,Char n-gram,3,Char n-gram-3
0.6599999999999999,5,40,Char n-gram,3,Char n-gram-3
0.5558333333333334,10,120,Char n-gram,3,Char n-gram-3
0.5700000000000001,10,80,Char n-gram,3,Char n-gram-3
0.4875,10,40,Char n-gram,3,Char n-gram-3
0.41208333333333336,20,120,Char n-gram,3,Char n-gram-3
0.46812499999999996,20,80,Char n-gram,3,Char n-gram-3
0.42000000000000004,20,40,Char n-gram,3,Char n-gram-3
0.9,2,120,Char n-gram,4,Char n-gram-4
0.90625,2,80,Char n-gram,4,Char n-gram-4
0.875,2,40,Char n-gram,4,Char n-gram-4
0.7050000000000001,5,120,Char n-gram,4,Char n-gram-4
0.7,5,80,Char n-gram,4,Char n-gram-4
0.675,5,40,Char n-gram,4,Char n-gram-4
0.6399999999999999,10,120,Char n-gram,4,Char n-gram-4
0.61125,10,80,Char n-gram,4,Char n-gram-4
0.6000000000000001,10,40,Char n-gram,4,Char n-gram-4
0.5508333333333333,20,120,Char n-gram,4,Char n-gram-4
0.5487500000000001,20,80,Char n-gram,4,Char n-gram-4
0.46875,20,40,Char n-gram,4,Char n-gram-4
0.9083333333333334,2,120,Char n-gram,5,Char n-gram-5
0.88125,2,80,Char n-gram,5,Char n-gram-5
0.875,2,40,Char n-gram,5,Char n-gram-5
0.785,5,120,Char n-gram,5,Char n-gram-5
0.78,5,80,Char n-gram,5,Char n-gram-5
0.66,5,40,Char n-gram,5,Char n-gram-5
0.6783333333333333,10,120,Char n-gram,5,Char n-gram-5
0.6487499999999999,10,80,Char n-gram,5,Char n-gram-5
0.5900000000000001,10,40,Char n-gram,5,Char n-gram-5
0.5991666666666667,20,120,Char n-gram,5,Char n-gram-5
0.56125,20,80,Char n-gram,5,Char n-gram-5
0.51125,20,40,Char n-gram,5,Char n-gram-5
0.6916666666666668,2,120,POS n-gram,1,POS n-gram-1
0.625,2,80,POS n-gram,1,POS n-gram-1
0.7,2,40,POS n-gram,1,POS n-gram-1
0.37,5,120,POS n-gram,1,POS n-gram-1
0.36,5,80,POS n-gram,1,POS n-gram-1
0.4,5,40,POS n-gram,1,POS n-gram-1
0.265,10,120,POS n-gram,1,POS n-gram-1
0.2475,10,80,POS n-gram,1,POS n-gram-1
0.29,10,40,POS n-gram,1,POS n-gram-1
0.18791666666666668,20,120,POS n-gram,1,POS n-gram-1
0.16375,20,80,POS n-gram,1,POS n-gram-1
0.16250000000000003,20,40,POS n-gram,1,POS n-gram-1
0.7166666666666666,2,120,POS n-gram,2,POS n-gram-2
0.76875,2,80,POS n-gram,2,POS n-gram-2
0.65,2,40,POS n-gram,2,POS n-gram-2
0.51,5,120,POS n-gram,2,POS n-gram-2
0.48999999999999994,5,80,POS n-gram,2,POS n-gram-2
0.36,5,40,POS n-gram,2,POS n-gram-2
0.35250000000000004,10,120,POS n-gram,2,POS n-gram-2
0.34625,10,80,POS n-gram,2,POS n-gram-2
0.3175,10,40,POS n-gram,2,POS n-gram-2
0.25166666666666665,20,120,POS n-gram,2,POS n-gram-2
0.228125,20,80,POS n-gram,2,POS n-gram-2
0.17625000000000002,20,40,POS n-gram,2,POS n-gram-2
0.6875000000000001,2,120,POS n-gram,3,POS n-gram-3
0.66875,2,80,POS n-gram,3,POS n-gram-3
0.6125,2,40,POS n-gram,3,POS n-gram-3
0.4416666666666667,5,120,POS n-gram,3,POS n-gram-3
0.42000000000000004,5,80,POS n-gram,3,POS n-gram-3
0.43499999999999994,5,40,POS n-gram,3,POS n-gram-3
0.34833333333333333,10,120,POS n-gram,3,POS n-gram-3
0.31,10,80,POS n-gram,3,POS n-gram-3
0.27249999999999996,10,40,POS n-gram,3,POS n-gram-3
0.24874999999999997,20,120,POS n-gram,3,POS n-gram-3
0.26875,20,80,POS n-gram,3,POS n-gram-3
0.19749999999999998,20,40,POS n-gram,3,POS n-gram-3
0.6083333333333333,2,120,POS n-gram,4,POS n-gram-4
0.5875,2,80,POS n-gram,4,POS n-gram-4
0.5875,2,40,POS n-gram,4,POS n-gram-4
0.45166666666666677,5,120,POS n-gram,4,POS n-gram-4
0.45500000000000007,5,80,POS n-gram,4,POS n-gram-4
0.325,5,40,POS n-gram,4,POS n-gram-4
0.4141666666666667,10,120,POS n-gram,4,POS n-gram-4
0.35125,10,80,POS n-gram,4,POS n-gram-4
0.26,10,40,POS n-gram,4,POS n-gram-4
0.3108333333333333,20,120,POS n-gram,4,POS n-gram-4
0.27312499999999995,20,80,POS n-gram,4,POS n-gram-4
0.21125,20,40,POS n-gram,4,POS n-gram-4
0.6208333333333333,2,120,POS n-gram,5,POS n-gram-5
0.59375,2,80,POS n-gram,5,POS n-gram-5
0.575,2,40,POS n-gram,5,POS n-gram-5
0.505,5,120,POS n-gram,5,POS n-gram-5
0.44000000000000006,5,80,POS n-gram,5,POS n-gram-5
0.43,5,40,POS n-gram,5,POS n-gram-5
0.3808333333333333,10,120,POS n-gram,5,POS n-gram-5
0.35375,10,80,POS n-gram,5,POS n-gram-5
0.23499999999999996,10,40,POS n-gram,5,POS n-gram-5
0.30583333333333335,20,120,POS n-gram,5,POS n-gram-5
0.25875000000000004,20,80,POS n-gram,5,POS n-gram-5
0.17875000000000002,20,40,POS n-gram,5,POS n-gram-5
